cpu_utilization,memory_utilization,storage_gb,data_transfer_gb,duration_hours,pue,carbon_intensity_gco2_kwh,instance_tdp_watts,workload_type,aws_region,co2_emissions_kg
62.42,55.8,217.37,35.715,12.0389,1.32,430,175.3,EC2,ap-southeast-1,1.64479
18.26,59.89,0.0,3.727,24.0,1.306,380,157.4,RDS,us-east-1,0.432386
2.56,29.59,988.54,33.3,21.2759,1.106,120,9.8,S3,us-west-2,0.277118
40.3,56.95,2.83,0.307,0.0222,1.241,120,36.7,Lambda,us-west-2,0.002213
42.72,4.22,2.53,0.157,0.0105,1.38,90,36.5,Lambda,sa-east-1,0.000854
27.99,27.12,2180.59,15.053,22.1337,1.535,270,5.2,S3,eu-west-1,0.468869
67.07,61.94,215.07,0.0,4.1564,1.376,320,150.8,EC2,eu-central-1,0.189438
72.43,17.51,0.82,0.427,0.001,1.488,90,14.9,Lambda,sa-east-1,0.002316
49.39,95.08,709.79,6.137,24.0,1.281,320,122.8,RDS,eu-central-1,0.791674
67.92,1.0,2.23,0.374,0.0033,1.425,320,23.2,Lambda,eu-central-1,0.007077
25.0,59.89,340.76,48.976,5.3368,1.566,120,103.7,EC2,us-west-2,0.387755
32.09,23.78,3.65,0.711,0.009,1.447,430,24.7,Lambda,ap-southeast-1,0.018509
3.69,28.87,843.65,71.853,29.2149,1.348,270,15.1,S3,eu-west-1,1.303726
25.44,56.41,540.14,28.658,24.0,1.203,450,67.5,RDS,ap-northeast-1,1.113215
55.99,60.1,908.62,14.533,24.0,1.614,100,59.3,RDS,ca-central-1,0.260461
13.76,32.17,70.48,31.722,15.878,1.435,320,229.5,EC2,eu-central-1,0.858986
45.22,47.78,530.94,0.0,24.0,1.44,430,86.2,RDS,ap-southeast-1,0.678535
16.29,16.53,2507.2,77.242,29.1337,1.449,270,8.6,S3,eu-west-1,1.614584
24.97,71.3,739.09,44.498,24.0,1.1,120,78.7,RDS,us-west-2,0.415138
32.39,82.08,73.56,18.177,24.0,1.525,430,145.4,RDS,ap-southeast-1,1.225527
25.46,96.08,602.76,24.451,24.0,1.274,380,132.8,RDS,us-east-1,1.037856
61.96,,208.6,56.826,19.0913,1.376,380,44.7,EC2,us-east-1,1.595965
1.0,48.77,2.75,0.511,0.009,1.423,120,31.9,Lambda,us-west-2,0.003572
64.06,24.02,2.12,0.636,0.0014,1.191,430,21.6,Lambda,ap-southeast-1,0.016004
83.41,,0.0,54.104,15.4741,1.437,320,23.8,EC2,eu-central-1,1.201467
18.2,30.48,1744.7,61.722,31.811,1.285,90,5.1,S3,sa-east-1,0.426159
24.68,64.49,825.79,14.875,24.0,1.23,380,132.8,RDS,us-east-1,0.856717
94.84,1.38,2.99,0.694,0.0114,1.627,320,25.0,Lambda,eu-central-1,0.013135
40.61,65.2,735.22,25.562,24.0,1.198,120,97.3,RDS,us-west-2,0.351087
74.36,61.57,0.0,4.266,10.9475,1.539,320,44.5,EC2,eu-central-1,0.256544
70.47,58.11,643.56,0.0,24.0,1.278,90,130.5,RDS,sa-east-1,0.278316
100.0,69.18,1.54,0.473,0.0115,1.267,320,35.2,Lambda,eu-central-1,0.009078
1.0,33.01,0.0,75.186,31.0891,1.325,120,1.9,S3,us-west-2,0.535751
73.03,31.24,2.58,0.331,0.0093,1.198,100,31.6,Lambda,ca-central-1,0.00199
44.51,100.0,266.9,37.494,11.4335,1.387,90,225.3,EC2,sa-east-1,0.34672
16.63,16.31,555.12,62.03,18.0082,1.442,100,8.8,S3,ca-central-1,0.397036
60.98,73.36,278.8,0.0,6.5015,1.304,430,195.6,EC2,ap-southeast-1,0.449646
34.96,49.98,473.1,30.354,24.0,1.1,270,123.8,RDS,eu-west-1,0.851167
57.98,87.58,213.29,17.692,3.7316,1.284,450,82.4,EC2,ap-northeast-1,0.592227
29.46,35.47,3.15,0.242,0.0125,1.272,320,46.5,Lambda,eu-central-1,0.004697
15.6,23.24,588.17,49.869,29.7702,1.531,100,19.9,S3,ca-central-1,0.341387
22.82,12.88,149.37,61.808,20.7841,1.387,450,6.5,S3,ap-northeast-1,1.699815
16.4,51.11,3.26,0.197,0.0102,1.263,100,31.8,Lambda,ca-central-1,0.00119
6.53,14.77,985.8,18.058,16.6926,1.377,120,6.3,S3,us-west-2,0.167245
19.59,17.05,976.92,103.206,25.4839,1.388,120,8.2,S3,us-west-2,0.809418
25.96,26.11,961.52,84.738,19.5339,1.581,120,3.4,S3,us-west-2,0.653796
60.0,33.84,2.68,0.7,0.0033,1.488,430,46.4,Lambda,ap-southeast-1,0.018012
41.55,18.97,1.56,0.593,0.0028,1.325,100,20.5,Lambda,ca-central-1,0.003635
34.65,100.0,434.12,4.878,24.0,1.347,430,130.2,RDS,ap-southeast-1,0.827055
1.0,35.84,1.43,1.078,0.0065,1.218,90,18.6,Lambda,sa-east-1,0.005899
1.0,13.85,1958.62,49.285,13.4818,1.343,90,17.4,S3,sa-east-1,0.300129
41.74,29.79,2.35,0.284,0.0109,1.426,430,33.7,Lambda,ap-southeast-1,0.007313
9.69,11.04,1490.78,24.928,20.1882,1.377,270,5.5,S3,eu-west-1,0.540419
46.22,82.97,881.75,26.524,24.0,1.12,100,106.0,RDS,ca-central-1,0.318742
33.1,23.99,1072.63,0.0,28.5321,1.454,120,7.0,S3,us-west-2,0.07387
29.86,63.79,1.51,0.606,0.0149,1.143,320,34.2,Lambda,eu-central-1,0.011488
22.14,56.64,509.43,17.381,24.0,1.48,270,126.4,RDS,eu-west-1,0.590938
45.08,87.24,324.71,0.0,24.0,1.246,430,149.0,RDS,ap-southeast-1,0.917704
52.14,69.24,365.26,35.942,24.0,1.119,270,192.9,RDS,eu-west-1,1.34159
25.36,56.9,78.8,31.819,9.1989,1.211,120,93.8,EC2,us-west-2,0.254609
51.35,96.45,169.62,34.363,7.3412,1.406,100,124.5,EC2,ca-central-1,0.269947
17.57,21.0,3104.49,79.127,9.5011,1.232,430,8.9,S3,ap-southeast-1,2.222974
27.64,5.36,2.39,0.705,0.0021,1.251,430,29.5,Lambda,ap-southeast-1,0.018401
16.61,13.11,196.02,5.647,9.5073,1.374,320,13.9,S3,eu-central-1,0.129827
34.82,28.07,1304.15,13.634,24.0,1.27,380,101.5,RDS,us-east-1,0.940429
51.41,57.88,592.51,37.418,24.0,1.298,380,90.0,RDS,us-east-1,1.480802
1.0,60.58,2.1,0.498,0.0146,1.191,90,30.1,Lambda,sa-east-1,0.002691
39.33,48.64,2.86,0.406,0.0049,1.319,270,36.5,Lambda,eu-west-1,0.006789
86.95,78.96,510.99,,24.0,1.355,320,74.5,RDS,eu-central-1,1.609157
99.16,46.27,93.3,73.254,5.6344,1.521,450,120.3,EC2,ap-northeast-1,2.391176
8.17,27.42,1432.95,85.643,22.8414,1.332,100,11.5,S3,ca-central-1,0.574392
7.13,41.67,459.56,31.039,32.7958,1.46,100,4.4,S3,ca-central-1,0.217707
33.62,39.97,2.9,,0.0066,1.183,320,32.3,Lambda,eu-central-1,0.009273
6.08,33.04,1344.45,19.925,28.6843,1.534,320,4.8,S3,eu-central-1,0.602764
22.29,55.16,307.45,114.953,7.7969,1.405,100,141.0,EC2,ca-central-1,0.746182
40.61,13.08,1.45,1.281,0.0159,1.454,270,11.1,Lambda,eu-west-1,0.021225
53.08,59.58,494.49,10.283,24.0,1.196,380,29.9,RDS,us-east-1,0.490065
40.04,63.09,80.69,37.775,2.3403,1.229,100,185.2,EC2,ca-central-1,0.243343
12.01,81.04,43.86,0.0,24.0,1.571,120,141.1,RDS,us-west-2,0.077727
16.11,1.0,373.79,145.338,40.0009,1.336,380,13.1,S3,us-east-1,3.462328
51.12,97.66,0.0,0.0,24.0,1.405,430,131.3,RDS,ap-southeast-1,0.948296
84.36,62.31,82.46,33.275,0.001,1.247,450,114.5,EC2,ap-northeast-1,0.897337
76.21,48.69,2.55,0.467,0.0109,1.301,320,32.9,Lambda,eu-central-1,0.008894
22.38,34.43,1405.16,11.234,36.1466,1.353,450,1.0,S3,ap-northeast-1,0.71178
60.76,76.92,1028.5,38.354,24.0,1.293,100,129.9,RDS,ca-central-1,0.51236
71.22,53.91,239.03,65.028,7.9265,1.654,90,222.9,EC2,sa-east-1,0.535541
56.48,61.74,10.07,73.846,5.5491,1.423,430,172.6,EC2,ap-southeast-1,2.263564
36.63,58.18,464.5,29.249,24.0,,450,108.4,RDS,ap-northeast-1,1.431241
20.89,8.42,1086.39,93.574,28.4698,1.279,90,11.9,S3,sa-east-1,0.555642
19.12,27.81,147.88,83.084,20.2927,1.169,320,10.1,S3,eu-central-1,1.665506
24.93,24.51,3122.98,97.577,25.0077,1.251,100,2.7,S3,ca-central-1,0.71465
59.33,68.99,747.56,27.421,24.0,1.156,320,122.1,RDS,eu-central-1,1.29726
53.87,72.73,0.0,37.323,24.0,1.337,380,113.2,RDS,us-east-1,1.597844
57.69,11.87,0.68,0.745,0.0206,1.228,430,55.4,Lambda,ap-southeast-1,0.019101
32.21,60.75,139.52,26.599,24.0,1.326,380,117.9,RDS,us-east-1,1.116901
1.0,15.66,0.0,82.579,20.7977,1.239,90,18.3,S3,sa-east-1,0.434789
45.36,31.56,0.86,0.359,0.0091,1.203,270,47.6,Lambda,eu-west-1,0.006056
40.81,96.55,643.78,22.147,24.0,1.23,450,149.9,RDS,ap-northeast-1,1.509706
59.47,12.55,2.34,0.703,0.0021,1.155,120,30.5,Lambda,us-west-2,0.005052
1.6,6.03,1479.23,0.0,27.4892,1.505,380,16.9,S3,us-east-1,0.262293
14.16,68.86,288.37,30.822,24.0,1.1,90,81.3,RDS,sa-east-1,0.205378
73.6,67.84,416.47,37.081,24.0,1.601,320,143.3,RDS,eu-central-1,2.082215
33.27,69.03,184.98,31.162,14.0577,1.546,380,103.3,EC2,us-east-1,0.994549
7.67,31.96,0.0,,21.8967,1.642,320,18.9,S3,eu-central-1,0.453551
42.87,48.64,327.83,30.123,11.2967,1.474,100,196.8,EC2,ca-central-1,0.319353
64.04,57.98,1.48,0.453,0.0152,1.329,380,23.8,Lambda,us-east-1,0.010342
70.59,20.96,1.74,0.348,0.0063,1.503,450,27.3,Lambda,ap-northeast-1,0.00954
43.19,51.46,326.24,53.512,10.5967,,270,169.2,EC2,eu-west-1,1.18374
40.27,28.16,362.48,20.09,24.0,1.164,90,115.6,RDS,sa-east-1,0.233387
16.39,20.46,1376.48,62.21,24.605,1.445,430,1.5,S3,ap-southeast-1,1.853717
67.39,33.3,2.27,0.826,0.008,1.35,90,23.0,Lambda,sa-east-1,0.00444
41.53,47.99,272.1,,16.8323,1.315,270,203.6,EC2,eu-west-1,1.12056
21.14,28.82,2.16,0.99,0.0101,1.278,90,21.3,Lambda,sa-east-1,0.005392
51.38,68.54,0.0,6.806,5.6349,1.362,100,134.8,EC2,ca-central-1,0.096434
13.05,12.74,746.12,55.556,44.0421,1.452,120,11.7,S3,us-west-2,0.466687
43.57,82.91,153.32,33.779,5.9614,1.113,430,55.3,EC2,ap-southeast-1,0.951932
26.23,36.13,1917.09,38.545,4.0452,1.214,320,6.3,S3,eu-central-1,0.803211
54.41,84.27,1.01,0.0,0.0148,1.46,270,28.9,Lambda,eu-west-1,0.0001
65.92,51.62,15.5,16.428,0.001,1.307,320,252.4,EC2,eu-central-1,0.309664
84.31,60.89,363.0,1.584,1.65,1.197,450,138.4,EC2,ap-northeast-1,0.152704
22.0,49.14,2.51,1.037,0.0153,1.297,270,27.2,Lambda,eu-west-1,0.016863
61.88,81.91,425.89,47.601,24.0,1.458,120,88.1,RDS,us-west-2,0.581728
26.96,,760.31,117.409,23.33,1.563,380,13.5,S3,us-east-1,2.857798
57.8,49.45,882.11,35.812,24.0,1.392,320,60.8,RDS,eu-central-1,1.177006
67.43,56.32,391.27,91.849,12.3229,1.382,100,86.6,EC2,ca-central-1,0.651383
4.52,21.48,1621.67,57.897,26.9038,1.1,270,12.4,S3,eu-west-1,1.1547
53.76,27.77,1.84,0.703,0.0128,1.358,380,32.2,Lambda,us-east-1,0.015694
48.13,26.16,564.9,39.075,24.0,1.336,380,54.2,RDS,us-east-1,1.258877
23.48,26.48,1196.75,44.309,28.5918,1.397,380,10.7,S3,us-east-1,1.28432
29.47,11.23,0.0,64.858,12.7436,1.244,430,17.1,S3,ap-southeast-1,1.738635
25.89,3.16,1094.41,0.0,30.5679,1.143,120,14.8,S3,us-west-2,0.086407
17.4,19.32,1657.95,24.034,4.5895,1.302,120,9.2,S3,us-west-2,0.193353
23.6,46.89,743.6,16.752,24.0,1.141,270,158.9,RDS,eu-west-1,0.636255
97.04,53.54,41.34,43.664,13.7078,1.443,100,27.3,EC2,ca-central-1,0.324644
48.35,44.4,2.16,0.432,0.006,1.129,90,43.5,Lambda,sa-east-1,0.00237
50.73,97.86,555.45,44.008,24.0,1.303,270,29.1,RDS,eu-west-1,0.882604
22.76,25.14,1332.2,71.167,6.6869,1.232,430,4.4,S3,ap-southeast-1,1.925225
10.3,25.1,2.64,0.391,0.0115,1.593,100,21.2,Lambda,ca-central-1,0.002327
1.0,61.39,2.35,0.455,0.0085,1.412,100,41.9,Lambda,ca-central-1,0.002758
24.5,84.06,844.27,9.271,24.0,1.357,100,80.4,RDS,ca-central-1,0.151491
48.84,71.42,1140.71,37.425,24.0,1.355,100,114.4,RDS,ca-central-1,0.440019
16.3,37.64,1759.16,99.712,14.168,1.544,100,14.3,S3,ca-central-1,0.632321
26.16,74.62,457.46,0.0,24.0,1.531,320,129.3,RDS,eu-central-1,0.464588
1.0,35.92,1.67,0.791,0.0049,1.502,430,30.7,Lambda,ap-southeast-1,0.019843
10.79,4.4,424.68,46.112,38.8216,1.52,430,6.1,S3,ap-southeast-1,1.359979
34.46,95.68,415.54,6.711,24.0,1.38,100,74.2,RDS,ca-central-1,0.14297
46.5,31.06,254.78,19.453,32.4176,1.341,270,9.5,S3,eu-west-1,0.402952
15.88,18.55,0.0,57.028,13.6532,1.488,430,17.7,S3,ap-southeast-1,1.515453
49.23,72.17,57.71,6.447,6.7134,1.455,380,199.6,EC2,us-east-1,0.51245
1.0,23.1,632.08,55.279,18.5305,1.248,320,13.5,S3,eu-central-1,1.099974
4.32,10.22,365.47,84.91,27.1834,1.261,270,16.0,S3,eu-west-1,1.445312
1.0,46.16,1.73,0.613,0.0099,1.248,430,11.1,Lambda,ap-southeast-1,0.015557
49.44,49.26,0.0,31.906,24.0,1.409,450,117.5,RDS,ap-northeast-1,1.740826
82.06,62.37,264.72,15.706,0.6856,1.127,270,184.3,EC2,eu-west-1,0.280193
21.23,45.29,2.28,0.424,0.0132,1.154,450,11.9,Lambda,ap-northeast-1,0.011234
1.13,28.32,1.7,0.41,0.0086,1.472,90,39.1,Lambda,sa-east-1,0.002149
70.87,76.33,928.39,27.144,24.0,1.533,100,105.5,RDS,ca-central-1,0.472008
10.81,14.37,490.03,82.336,29.8913,1.334,270,18.0,S3,eu-west-1,1.417809
1.53,31.26,2.59,0.927,0.0033,1.215,270,26.7,Lambda,eu-west-1,0.015008
64.45,68.05,192.75,39.4,24.0,1.41,380,99.0,RDS,us-east-1,1.723248
3.85,31.83,1815.2,44.928,25.1944,1.49,120,4.2,S3,us-west-2,0.419768
49.57,63.57,162.22,11.728,3.2745,1.333,100,311.3,EC2,ca-central-1,0.13528
64.36,56.15,479.21,36.897,4.7572,1.503,430,230.7,EC2,ap-southeast-1,1.413525
57.31,35.04,206.86,63.254,8.8605,1.332,430,143.3,EC2,ap-southeast-1,2.063141
8.09,29.69,364.36,0.0,25.9617,1.316,100,2.5,S3,ca-central-1,0.017131
54.0,55.15,194.72,25.731,8.8506,1.243,120,154.1,EC2,us-west-2,0.295187
30.9,45.25,3.25,0.143,0.0065,1.226,430,32.1,Lambda,ap-southeast-1,0.00381
56.71,70.02,0.81,0.221,0.0121,1.486,320,24.2,Lambda,eu-central-1,0.004413
25.86,1.0,0.0,7.828,26.1958,1.521,320,4.0,S3,eu-central-1,0.163381
44.17,47.76,418.19,13.712,9.1665,1.358,430,50.1,EC2,ap-southeast-1,0.497322
48.52,49.87,1.54,0.21,0.001,1.313,450,35.6,Lambda,ap-northeast-1,0.005709
37.22,63.36,3.46,0.63,0.0029,1.261,100,23.0,Lambda,ca-central-1,0.003864
47.38,59.06,559.67,38.184,24.0,1.317,100,82.3,RDS,ca-central-1,0.383176
25.72,100.0,656.55,22.799,24.0,1.323,320,107.0,RDS,eu-central-1,0.802105
61.58,11.06,324.99,44.954,11.3062,,320,154.3,EC2,eu-central-1,1.392134
80.14,32.31,3.12,0.672,0.0086,1.304,100,31.1,Lambda,ca-central-1,0.004041
26.08,69.84,246.37,18.269,24.0,1.463,270,67.0,RDS,eu-west-1,0.478628
40.76,64.4,205.03,41.1,7.7892,1.316,430,184.0,EC2,ap-southeast-1,1.420841
5.74,37.67,768.07,78.295,39.9548,1.434,120,8.5,S3,us-west-2,0.640898
30.32,28.56,3.57,0.356,0.0042,1.494,120,25.8,Lambda,us-west-2,0.002612
71.13,55.89,100.13,56.63,4.7348,1.369,270,105.9,EC2,eu-west-1,1.037234
22.7,37.92,458.71,23.816,24.0,1.408,90,92.1,RDS,sa-east-1,0.213886
84.15,32.57,225.58,29.129,19.6481,1.319,450,129.3,EC2,ap-northeast-1,2.117902
70.49,65.85,486.09,12.534,24.0,1.484,120,70.0,RDS,us-west-2,0.326447
20.37,21.3,1498.1,76.089,20.5315,1.466,90,13.9,S3,sa-east-1,0.474897
1.0,15.89,174.4,76.63,18.389,1.624,270,7.3,S3,eu-west-1,1.235474
40.38,2.96,1.11,0.859,0.0097,1.195,120,23.0,Lambda,us-west-2,0.006226
63.02,67.94,0.0,5.311,24.0,1.349,90,109.9,RDS,sa-east-1,0.228216
19.79,21.45,1282.38,21.508,26.3533,1.19,450,15.3,S3,ap-northeast-1,0.876835
10.87,9.34,708.98,49.192,18.153,1.485,120,14.2,S3,us-west-2,0.387106
7.96,27.54,2.31,0.325,0.0119,1.271,430,24.4,Lambda,ap-southeast-1,0.008388
35.05,75.6,336.39,4.701,14.7393,1.208,270,237.9,EC2,eu-west-1,0.497988
56.74,41.86,128.83,0.0,11.2593,1.516,450,175.9,EC2,ap-northeast-1,0.793262
40.88,73.82,1.04,0.373,0.0108,1.163,120,30.9,Lambda,us-west-2,0.002726
49.35,52.39,369.96,33.606,6.0724,1.208,120,105.6,EC2,us-west-2,0.293499
65.61,83.37,1059.28,36.482,24.0,1.409,90,148.8,RDS,sa-east-1,0.517196
36.86,8.26,0.9,0.479,0.0122,1.208,270,26.7,Lambda,eu-west-1,0.007737
11.15,23.4,493.25,158.925,20.1137,1.423,450,7.1,S3,ap-northeast-1,4.303947
55.1,66.58,671.84,27.835,24.0,1.233,90,68.7,RDS,sa-east-1,0.282975
2.3,19.42,1543.41,52.62,28.9011,1.449,450,7.1,S3,ap-northeast-1,1.722716
13.02,21.36,542.84,88.647,25.7996,1.396,430,14.6,S3,ap-southeast-1,2.36383
75.91,87.65,555.72,20.684,24.0,1.33,450,76.9,RDS,ap-northeast-1,1.510778
11.96,54.97,1072.79,4.434,24.0,1.346,90,144.9,RDS,sa-east-1,0.111785
78.26,54.72,0.0,71.068,10.659,1.235,320,123.3,EC2,eu-central-1,1.723669
2.66,69.85,593.77,29.673,24.0,1.552,380,84.9,RDS,us-east-1,0.81284
31.2,30.39,634.37,25.067,24.0,1.393,320,66.7,RDS,eu-central-1,0.773932
54.43,52.78,82.73,33.033,2.6517,1.306,450,196.6,EC2,ap-northeast-1,1.040331
22.82,57.33,489.75,14.605,24.0,1.288,120,93.0,RDS,us-west-2,0.212406
34.87,84.93,764.9,27.748,24.0,1.405,320,114.8,RDS,eu-central-1,1.093472
62.76,63.03,86.91,35.546,24.0,1.335,100,133.9,RDS,ca-central-1,0.474313
47.61,64.13,40.33,39.543,0.1569,1.331,430,90.7,EC2,ap-southeast-1,1.049759
77.26,47.53,177.95,23.991,8.0476,1.245,430,123.9,EC2,ap-southeast-1,1.047533
52.98,22.72,3.11,0.106,0.0092,1.335,270,33.8,Lambda,eu-west-1,0.001811
12.93,18.76,1856.73,80.114,22.8175,1.31,90,13.7,S3,sa-east-1,0.512682
41.89,63.43,175.85,12.685,9.8405,1.483,380,128.7,EC2,us-east-1,0.616259
17.4,3.29,0.0,97.884,24.1975,1.26,450,20.5,S3,ap-northeast-1,2.698754
1.0,,1417.73,0.424,33.2142,1.47,450,10.9,S3,ap-northeast-1,0.37302
10.86,17.89,389.65,97.058,20.0112,1.19,450,5.9,S3,ap-northeast-1,2.728504
82.55,60.79,289.2,32.118,7.1412,1.394,450,88.4,EC2,ap-northeast-1,1.22055
28.65,1.56,0.0,5.629,20.7626,1.318,380,6.1,S3,us-east-1,0.150485
12.95,22.48,1360.78,108.905,24.3361,1.288,100,7.9,S3,ca-central-1,0.700579
43.6,52.38,3.18,0.0,0.02,1.395,270,15.6,Lambda,eu-west-1,0.0001
62.01,78.91,255.83,44.299,5.7378,1.229,120,122.0,EC2,us-west-2,0.380484
89.47,48.42,290.95,14.401,10.2585,1.143,450,207.9,EC2,ap-northeast-1,1.366945
25.84,83.77,675.52,29.174,24.0,1.264,450,97.9,RDS,ap-northeast-1,1.253732
70.83,31.33,1.27,0.218,0.0214,1.236,380,33.4,Lambda,us-east-1,0.00509
27.21,12.92,1246.58,92.841,25.8477,1.361,450,5.7,S3,ap-northeast-1,2.723823
59.98,56.41,0.0,1.625,5.7809,1.345,270,153.8,EC2,eu-west-1,0.222276
13.16,12.83,1630.2,135.504,15.6287,1.267,90,8.1,S3,sa-east-1,0.7779
21.16,75.02,81.68,17.574,24.0,1.358,450,163.5,RDS,ap-northeast-1,1.003138
11.9,14.49,419.66,44.121,31.7671,1.47,380,10.6,S3,us-east-1,1.122118
66.1,99.71,738.71,40.48,24.0,1.323,380,43.8,RDS,us-east-1,1.358293
21.64,87.05,0.0,35.034,24.0,1.421,430,84.7,RDS,ap-southeast-1,1.173365
1.55,15.5,1241.94,28.057,18.7174,1.323,270,1.0,S3,eu-west-1,0.546963
77.42,33.45,2.1,0.252,0.0091,1.438,380,9.0,Lambda,us-east-1,0.005955
15.76,67.93,712.44,17.575,24.0,1.324,430,41.0,RDS,ap-southeast-1,0.685569
68.88,72.6,0.0,51.449,8.8381,1.512,270,235.3,EC2,eu-west-1,1.445721
94.23,91.78,418.81,13.902,24.0,1.336,380,80.4,RDS,us-east-1,1.294451
14.94,59.39,3.65,0.793,0.0067,1.318,380,44.5,Lambda,us-east-1,0.018629
1.0,44.98,728.93,13.003,24.0,1.322,320,73.7,RDS,eu-central-1,0.341985
16.64,19.7,981.92,89.592,22.3395,1.25,120,1.6,S3,us-west-2,0.685867
49.08,43.68,568.63,20.605,24.0,1.136,270,140.4,RDS,eu-west-1,0.92866
60.49,92.3,839.44,2.852,24.0,1.303,430,55.5,RDS,ap-southeast-1,0.659241
27.09,58.83,257.87,45.978,1.3977,1.428,100,176.9,EC2,ca-central-1,0.279401
51.36,10.43,3.46,0.501,0.0118,1.401,450,28.8,Lambda,ap-northeast-1,0.013486
5.68,15.8,1291.7,72.284,20.7834,1.219,380,20.3,S3,us-east-1,1.87163
50.71,1.0,1.48,0.621,0.0072,1.533,380,35.9,Lambda,us-east-1,0.014107
40.99,71.96,411.11,0.0,24.0,1.244,320,78.4,RDS,eu-central-1,0.367796
22.14,36.48,234.63,75.389,6.7448,1.314,430,178.8,EC2,ap-southeast-1,2.1169
57.69,24.74,274.13,28.491,24.0,1.343,100,71.3,RDS,ca-central-1,0.310152
44.32,44.32,3.2,0.0,0.0107,1.365,270,31.3,Lambda,eu-west-1,0.0001
30.82,15.5,253.49,65.675,6.6581,1.395,380,196.9,EC2,us-east-1,1.708604
32.05,,176.6,61.427,6.1239,1.165,430,268.4,EC2,ap-southeast-1,1.872952
57.4,46.17,683.72,4.813,24.0,1.286,100,116.0,RDS,ca-central-1,0.258177
58.89,39.18,2.0,0.434,0.0084,1.438,320,25.5,Lambda,eu-central-1,0.008532
30.72,23.54,1.46,0.0,0.0079,1.225,320,39.1,Lambda,eu-central-1,0.0001
7.78,29.83,1124.52,5.933,18.395,1.538,270,6.1,S3,eu-west-1,0.1968
71.04,81.99,108.44,0.0,2.1742,1.256,100,81.5,EC2,ca-central-1,0.015811
30.0,45.08,1.52,0.108,0.0093,1.421,100,30.8,Lambda,ca-central-1,0.000646
54.23,66.12,2.44,0.139,0.012,1.53,120,32.5,Lambda,us-west-2,0.001072
10.97,28.22,54.82,0.0,24.651,1.345,270,17.3,S3,eu-west-1,0.023326
46.25,43.61,1.95,0.446,0.0089,1.354,430,39.9,Lambda,ap-southeast-1,0.011265
9.87,14.82,322.15,31.96,25.2501,1.567,450,7.7,S3,ap-northeast-1,0.951182
23.96,26.27,342.79,58.954,18.3362,1.248,320,9.5,S3,eu-central-1,1.195509
44.14,87.08,830.08,43.698,24.0,1.586,100,83.5,RDS,ca-central-1,0.439984
18.33,34.03,91.67,40.753,30.4407,1.448,270,12.2,S3,eu-west-1,0.711258
43.02,21.96,2.24,0.21,0.0102,1.318,450,29.4,Lambda,ap-northeast-1,0.005752
14.11,21.64,1469.0,,19.876,1.269,120,11.3,S3,us-west-2,0.187747
57.57,75.36,272.45,18.011,24.0,1.56,430,48.9,RDS,ap-southeast-1,0.96887
3.8,32.82,377.34,52.941,24.0,1.226,270,18.3,RDS,eu-west-1,0.926206
32.04,45.81,1.35,0.569,0.0087,1.515,450,34.7,Lambda,ap-northeast-1,0.015773
60.26,60.51,117.88,22.211,24.0,1.448,90,60.3,RDS,sa-east-1,0.241339
80.51,74.62,391.76,39.084,24.0,1.28,120,128.1,RDS,us-west-2,0.688132
74.75,52.41,204.28,17.149,24.0,1.44,90,87.5,RDS,sa-east-1,0.297789
8.98,64.2,505.36,16.637,24.0,1.27,430,130.9,RDS,ap-southeast-1,0.67623
61.75,59.56,362.79,8.37,24.0,1.485,430,179.7,RDS,ap-southeast-1,1.932519
58.48,44.69,76.39,55.365,5.964,1.444,120,141.1,EC2,us-west-2,0.477426
71.77,49.13,0.0,35.424,8.5401,1.429,270,237.5,EC2,eu-west-1,1.113113
87.17,4.99,2.59,0.751,0.0187,1.224,100,31.1,Lambda,ca-central-1,0.004659
48.68,34.27,1.18,0.29,0.0143,1.402,320,18.7,Lambda,eu-central-1,0.005748
34.89,63.26,2.48,0.204,0.0077,1.226,270,20.7,Lambda,eu-west-1,0.00324
16.38,28.67,462.29,61.027,24.7339,1.418,430,15.0,S3,ap-southeast-1,1.738436
17.62,32.34,1876.28,0.0,18.4242,1.285,120,4.9,S3,us-west-2,0.072849
21.71,49.93,3.19,0.384,0.014,1.668,100,31.6,Lambda,ca-central-1,0.002278
48.09,56.17,156.42,28.028,10.7269,1.325,450,107.5,EC2,ap-northeast-1,1.071049
50.44,52.74,257.53,7.763,6.5324,1.297,320,214.4,EC2,eu-central-1,0.454548
82.51,70.72,174.2,39.313,11.8514,1.513,430,279.1,EC2,ap-southeast-1,2.823811
37.39,49.44,153.29,31.205,1.7853,1.359,450,14.4,EC2,ap-northeast-1,0.849553
46.95,2.48,0.62,0.22,0.0117,1.409,450,29.7,Lambda,ap-northeast-1,0.006203
44.07,96.66,0.0,33.709,16.846,1.31,430,136.7,EC2,ap-southeast-1,1.402671
34.35,79.87,23.49,30.83,24.0,1.154,450,91.4,RDS,ap-northeast-1,1.195193
69.98,62.25,277.21,0.563,7.5926,1.355,270,139.8,EC2,eu-west-1,0.291391
67.93,62.99,190.67,24.051,4.4999,1.314,450,186.5,EC2,ap-northeast-1,0.973498
19.98,1.12,2.23,0.123,0.0131,1.301,430,23.0,Lambda,ap-southeast-1,0.003164
4.56,80.15,2.17,0.474,0.0042,1.165,380,28.3,Lambda,us-east-1,0.010759
46.87,39.1,324.08,11.314,24.0,1.621,380,113.7,RDS,us-east-1,1.07723
